date,utcyymm,usvalue,growthvalue,url_name,presidents
1960,1960-01,13387.0,,john-f-kennedy,John F. Kennedy
1961,1961-01,13632.0,1.8135883283199163,john-f-kennedy,John F. Kennedy
1962,1962-01,14077.0,3.2122289758868376,john-f-kennedy,John F. Kennedy
1963,1963-01,14399.0,2.2616499880305097,john-f-kennedy,John F. Kennedy
1964,1964-01,15210.0,5.479434654506812,lyndon-b-johnson,Lyndon B. Johnson
1965,1965-01,15953.0,4.769379304765897,lyndon-b-johnson,Lyndon B. Johnson
1966,1966-01,16611.0,4.041822719007925,lyndon-b-johnson,Lyndon B. Johnson
1967,1967-01,17151.0,3.1991354441004054,lyndon-b-johnson,Lyndon B. Johnson
1968,1968-01,17753.0,3.4498034774716593,richard-m-nixon,Richard Nixon - 1st term
1969,1969-01,18173.0,2.338246037446367,richard-m-nixon,Richard Nixon - 1st term
1970,1970-01,18795.0,3.3653900917016997,richard-m-nixon,Richard Nixon - 1st term
1971,1971-01,19419.0,3.266109121534154,richard-m-nixon,Richard Nixon - 1st term
1972,1972-01,20136.0,3.6257289601531824,gerald-r-ford,Richard Nixon - 2nd term _ 1974-1976: Gerald Ford
1973,1973-01,21184.0,5.073692192158289,gerald-r-ford,Richard Nixon - 2nd term _ 1974-1976: Gerald Ford
1974,1974-01,20758.0,-2.031446521150047,gerald-r-ford,Richard Nixon - 2nd term _ 1974-1976: Gerald Ford
1975,1975-01,21062.0,1.4538754415308144,gerald-r-ford,Richard Nixon - 2nd term _ 1974-1976: Gerald Ford
1976,1976-01,21525.0,2.174458135538915,james-carter,Jimmy Carter
1977,1977-01,21981.0,2.0963393532141934,james-carter,Jimmy Carter
1978,1978-01,22742.0,3.4034991356594637,james-carter,Jimmy Carter
1979,1979-01,22932.0,0.8319879843605262,james-carter,Jimmy Carter
1980,1980-01,22839.0,-0.4063714053951083,ronald-reagan,Ronald Reagan - 1st term
1981,1981-01,23134.0,1.2833795881024632,ronald-reagan,Ronald Reagan - 1st term
1982,1982-01,23420.0,1.2286961296361543,ronald-reagan,Ronald Reagan - 1st term
1983,1983-01,24035.0,2.59207431763527,ronald-reagan,Ronald Reagan - 1st term
1984,1984-01,25419.0,5.598582453851278,ronald-reagan,Ronald Reagan - 2nd term
1985,1985-01,25972.0,2.152210876180359,ronald-reagan,Ronald Reagan - 2nd term
1986,1986-01,26716.0,2.8243602217149197,ronald-reagan,Ronald Reagan - 2nd term
1987,1987-01,26962.0,0.9165830405482821,ronald-reagan,Ronald Reagan - 2nd term
1988,1988-01,28069.0,4.023729724766783,george-h-w-bush,George H.W. Bush
1989,1989-01,28614.0,1.9230344027602149,george-h-w-bush,George H.W. Bush
1990,1990-01,28879.0,0.9218578842206941,george-h-w-bush,George H.W. Bush
1991,1991-01,28738.0,-0.4894398579334348,george-h-w-bush,George H.W. Bush
1992,1992-01,29488.0,2.5763112120452636,william-j-clinton,Bill Clinton - 1st term
1993,1993-01,29579.0,0.30812491576306944,william-j-clinton,Bill Clinton - 1st term
1994,1994-01,30018.0,1.473255164902477,william-j-clinton,Bill Clinton - 1st term
1995,1995-01,30644.0,2.063968292045158,william-j-clinton,Bill Clinton - 1st term
1996,1996-01,31230.0,1.8942286640412678,william-j-clinton,Bill Clinton - 2nd term
1997,1997-01,31959.0,2.307466000218309,william-j-clinton,Bill Clinton - 2nd term
1998,1998-01,33452.0,4.565774422210912,william-j-clinton,Bill Clinton - 2nd term
1999,1999-01,34143.0,2.0446011448583135,william-j-clinton,Bill Clinton - 2nd term
2000,2000-01,35423.0,3.680373971094427,george-w-bush,George W. Bush - 1st term
2001,2001-01,36102.0,1.898693878746277,george-w-bush,George W. Bush - 1st term
2002,2002-01,36861.0,2.0805816087274205,george-w-bush,George W. Bush - 1st term
2003,2003-01,37451.0,1.5879330322878256,george-w-bush,George W. Bush - 1st term
2004,2004-01,38303.0,2.2494810224346997,george-w-bush,George W. Bush - 2nd term
2005,2005-01,38395.0,0.23990206817379192,george-w-bush,George W. Bush - 2nd term
2006,2006-01,39414.0,2.619384035588399,george-w-bush,George W. Bush - 2nd term
2007,2007-01,39955.0,1.3632737688035232,george-w-bush,George W. Bush - 2nd term
2008,2008-01,40206.0,0.626241739266264,barack-obama,Barack Obama - 1st term
2009,2009-01,39948.0,-0.6437629838200504,barack-obama,Barack Obama - 1st term
2010,2010-01,40360.0,1.0260587104519925,barack-obama,Barack Obama - 1st term
2011,2011-01,40908.0,1.3486447458358066,barack-obama,Barack Obama - 1st term
2012,2012-01,41704.0,1.927140452203846,barack-obama,Barack Obama - 2nd term
2013,2013-01,40798.0,-2.196398686503216,barack-obama,Barack Obama - 2nd term
2014,2014-01,41875.0,2.6055929544457883,barack-obama,Barack Obama - 2nd term
2015,2015-01,43179.0,3.0665275803412877,barack-obama,Barack Obama - 2nd term
2016,2016-01,43659.0,1.1055180650655445,donald-j-trump,Donald Trump
2017,2017-01,44710.0,2.378774364659038,donald-j-trump,Donald Trump
2018,2018-01,46057.0,2.9682569589487615,donald-j-trump,Donald Trump
2019,2019-01,47226.0,2.5064828552991196,donald-j-trump,Donald Trump
2020,2020-01,50054.0,5.815783425934217,joseph-r-biden-jr,Joe Biden
2021,2021-01,51570.0,2.9837685415157322,joseph-r-biden-jr,Joe Biden
2022,2022-01,48313.0,-6.523943248029392,joseph-r-biden-jr,Joe Biden
2023,2023-01,,,joseph-r-biden-jr,Joe Biden
